player_dismissed,wicket_taker,max_dismissed
"DA Warner","P Kumar",3
"DA Warner","L Balaji",3
"DA Warner","Harbhajan Singh",3
"S Dhawan","SL Malinga",4
"S Dhawan","Z Khan",4
"S Dhawan","P Kumar",4
"Yuvraj Singh","KA Pollard",3
"Yuvraj Singh","SK Trivedi",3
"Yuvraj Singh","UT Yadav",3
"Yuvraj Singh","SL Malinga",3
"CH Gayle","R Ashwin",4
"CH Gayle","Sandeep Sharma",4
"KM Jadhav","MM Sharma",2
"KM Jadhav","JD Unadkat",2
"TM Head","Z Khan",1
"TM Head","KH Pandya",1
"TM Head","JD Unadkat",1
"TM Head","AJ Tye",1
"TM Head","Rashid Khan",1
"Sachin Baby","PJ Cummins",1
"Sachin Baby","Washington Sundar",1
"Sachin Baby","Bipul Sharma",1
"SR Watson","RA Jadeja",5
"SR Watson","AR Patel",5
"S Aravind","GJ Maxwell",1
"S Aravind","MJ McClenaghan",1
"S Aravind","JP Faulkner",1
"S Aravind","A Nehra",1
"TS Mills","C de Grandhomme",1
"TS Mills","CH Morris",1
"TS Mills","B Kumar",1
"YS Chahal","JP Faulkner",1
"YS Chahal","C de Grandhomme",1
"YS Chahal","BCJ Cutting",1
"RG Sharma","R Vinay Kumar",6
"JC Buttler","MM Sharma",2
"JC Buttler","A Nehra",2
"KH Pandya","DT Christian",1
"KH Pandya","SN Thakur",1
"KH Pandya","P Negi",1
"KH Pandya","IK Pathan",1
"KH Pandya","A Mishra",1
"KH Pandya","B Kumar",1
"KH Pandya","AS Rajpoot",1
"KH Pandya","R Bhatia",1
"N Rana","AR Patel",1
"N Rana","S Kaul",1
"N Rana","P Negi",1
"N Rana","Ankit Soni",1
"N Rana","DT Christian",1
"N Rana","PJ Cummins",1
"N Rana","AJ Tye",1
"N Rana","S Badree",1
"N Rana","B Kumar",1
"N Rana","AS Rajpoot",1
"N Rana","A Zampa",1
"KA Pollard","IK Pathan",3
"KA Pollard","YS Chahal",3
"KA Pollard","B Kumar",3
"TG Southee","AB Dinda",1
"MA Agarwal","R Ashwin",3
"BA Stokes","Mohammed Shami",1
"BA Stokes","Rashid Khan",1
"BA Stokes","SP Narine",1
"BA Stokes","MG Johnson",1
"BA Stokes","B Kumar",1
"BA Stokes","AF Milne",1
"BA Stokes","AJ Tye",1
"BA Stokes","PJ Cummins",1
"BA Stokes","AR Patel",1
"BA Stokes","HH Pandya",1
"JJ Roy","B Kumar",1
"JJ Roy","PP Chawla",1
"BB McCullum","PP Chawla",4
"BB McCullum","SL Malinga",4
"AJ Finch","MM Sharma",3
"AJ Finch","P Negi",3
"KD Karthik","DW Steyn",4
"MS Dhoni","PP Ojha",7
"MS Dhoni","Z Khan",7
"DT Christian","MM Patel",2
"DT Christian","UT Yadav",2
"M Vohra","B Kumar",2
"M Vohra","PP Chawla",2
"WP Saha","DJ Bravo",3
"HM Amla","B Kumar",2
"Vishnu Vinod","PJ Cummins",1
"Vishnu Vinod","Sandeep Sharma",1
"Vishnu Vinod","Z Khan",1
"P Negi","CH Morris",2
"KK Nair","Harbhajan Singh",4
"SW Billings","Sandeep Sharma",1
"SW Billings","Mohammed Siraj",1
"SW Billings","NM Coulter-Nile",1
"SW Billings","AR Patel",1
"SW Billings","Imran Tahir",1
"SW Billings","Iqbal Abdulla",1
"SV Samson","MJ McClenaghan",4
"CR Brathwaite","DS Kulkarni",1
"CR Brathwaite","YS Chahal",1
"PJ Cummins","TM Head",1
"PJ Cummins","BA Stokes",1
"PJ Cummins","JP Faulkner",1
"PJ Cummins","Harbhajan Singh",1
"PJ Cummins","SR Watson",1
"RR Pant","JJ Bumrah",3
"S Nadeem","P Negi",2
"SK Raina","Harbhajan Singh",5
"G Gambhir","Z Khan",6
"RV Uthappa","A Mishra",5
"CA Lynn","JJ Bumrah",2
"YK Pathan","B Kumar",4
"YK Pathan","R Vinay Kumar",4
"CR Woakes","DT Christian",1
"CR Woakes","TS Mills",1
"CR Woakes","A Mishra",1
"CR Woakes","SL Malinga",1
"RA Tripathi","P Negi",2
"R Bhatia","RP Singh",2
"R Bhatia","Harbhajan Singh",2
"DL Chahar","Z Khan",1
"A Zampa","A Mishra",1
"AB Dinda","SL Malinga",2
"DJ Hooda","MM Sharma",2
"BCJ Cutting","TA Boult",1
"BCJ Cutting","JJ Bumrah",1
"V Shankar","NM Coulter-Nile",1
"V Shankar","SL Malinga",1
"NV Ojha","RP Singh",4
"Rashid Khan","JD Unadkat",1
"Rashid Khan","JJ Bumrah",1
"MP Stoinis","AJ Tye",1
"MP Stoinis","MJ McClenaghan",1
"MP Stoinis","SP Narine",1
"GJ Maxwell","A Mishra",4
"DA Miller","UT Yadav",3
"VR Aaron","CR Woakes",1
"V Kohli","A Nehra",6
"AB de Villiers","PP Chawla",5
"MJ McClenaghan","SN Thakur",1
"MJ McClenaghan","Basil Thampi",1
"MJ McClenaghan","JD Unadkat",1
"MJ McClenaghan","S Badree",1
"Ankit Sharma","AJ Tye",1
"SN Thakur","S Kaul",1
"SN Thakur","AF Milne",1
"SN Thakur","AJ Tye",1
"MK Pandey","Harbhajan Singh",5
"C de Grandhomme","KV Sharma",1
"C de Grandhomme","HH Pandya",1
"C de Grandhomme","P Negi",1
"C de Grandhomme","JD Unadkat",1
"C de Grandhomme","S Kaul",1
"C de Grandhomme","YS Chahal",1
"C de Grandhomme","Z Khan",1
"C de Grandhomme","B Kumar",1
"SS Iyer","Sandeep Sharma",3
"EJG Morgan","UT Yadav",2
"EJG Morgan","R Vinay Kumar",2
"KC Cariappa","B Kumar",1
"KC Cariappa","CH Morris",1
"Ishan Kishan","Imran Tahir",2
"S Badree","AR Patel",1
"S Badree","Imran Tahir",1
"S Badree","RA Jadeja",1
"S Badree","CR Woakes",1
"S Badree","JD Unadkat",1
"AF Milne","Imran Tahir",1
"AF Milne","BA Stokes",1
"AD Mathews","R Vinay Kumar",3
"Mohammad Nabi","Sandeep Sharma",1
"I Sharma","R Vinay Kumar",1
"I Sharma","Kamran Khan",1
"I Sharma","RP Singh",1
"I Sharma","DJ Thornely",1
"I Sharma","A Zampa",1
"I Sharma","S Kaul",1
"RA Jadeja","A Mishra",4
"KS Williamson","NM Coulter-Nile",2
"KS Williamson","CH Morris",2
"SE Marsh","B Kumar",3
"Harbhajan Singh","P Kumar",4
"CJ Anderson","SP Narine",2
"K Rabada","KV Sharma",1
"K Rabada","Sandeep Sharma",1
"K Rabada","JJ Bumrah",1
"AD Nath","KC Cariappa",1
"AJ Tye","JJ Bumrah",1
"AJ Tye","Sandeep Sharma",1
"NM Coulter-Nile","MG Johnson",1
"NM Coulter-Nile","BA Stokes",1
"NM Coulter-Nile","P Negi",1
"Kuldeep Yadav","TG Southee",1
"Kuldeep Yadav","S Aravind",1
"KV Sharma","SR Watson",2
"MJ Guptill","B Kumar",2
"Anureet Singh","A Nehra",1
"IK Pathan","Z Khan",3
"JJ Bumrah","IK Pathan",1
"Mohammed Shami","P Negi",1
"Mohammed Shami","JD Unadkat",1
"Mohammed Shami","Harbhajan Singh",1
"Mohammed Shami","VR Aaron",1
"SP Jackson","Washington Sundar",1
"SP Jackson","B Kumar",1
"PJ Sangwan","ST Jayasuriya",1
"PJ Sangwan","SB Jakati",1
"PJ Sangwan","LR Shukla",1
"PJ Sangwan","A Nehra",1
"PJ Sangwan","Mohammed Siraj",1
"PJ Sangwan","JD Unadkat",1
"Ankit Soni","S Kaul",1
"Ankit Soni","JD Unadkat",1
"A Choudhary","MM Sharma",1
"Bipul Sharma","SL Malinga",1
"Bipul Sharma","JD Unadkat",1
"MN Samuels","HV Patel",1
"MN Samuels","DT Christian",1
"MN Samuels","JP Faulkner",1
"MN Samuels","KV Sharma",1
"Z Khan","DW Steyn",2
"Z Khan","DE Bollinger",2
"Swapnil Singh","JD Unadkat",1
"Swapnil Singh","CR Woakes",1
"P Kumar","SL Malinga",3
"MM Patel","A Kumble",2
"SS Tiwary","SB Jakati",2
"SS Tiwary","PP Chawla",2
"R Tewatia","SN Thakur",1
"CJ Jordan","NM Coulter-Nile",1
"IR Jaggi","Iqbal Abdulla",1
"IR Jaggi","SK Warne",1
"IR Jaggi","KV Sharma",1
"PP Chawla","SL Malinga",3
"AS Rajpoot","SL Malinga",1
"Washington Sundar","MG Johnson",1
"SC Ganguly","R Vinay Kumar",4
"RT Ponting","ST Jayasuriya",1
"RT Ponting","JDP Oram",1
"RT Ponting","WPUJC Vaas",1
"RT Ponting","JH Kallis",1
"DJ Hussey","SK Trivedi",4
"R Dravid","Harbhajan Singh",4
"JH Kallis","RP Singh",4
"W Jaffer","A Singh",1
"W Jaffer","Z Khan",1
"W Jaffer","PP Ojha",1
"W Jaffer","S Sreesanth",1
"W Jaffer","WPUJC Vaas",1
"W Jaffer","GD McGrath",1
"W Jaffer","P Amarnath",1
"W Jaffer","AB Dinda",1
"MV Boucher","PJ Sangwan",2
"MV Boucher","RP Singh",2
"B Akhil","M Morkel",1
"B Akhil","JDP Oram",1
"B Akhil","SK Warne",1
"B Akhil","MF Maharoof",1
"B Akhil","DR Smith",1
"B Akhil","AB Agarkar",1
"CL White","R Vinay Kumar",2
"AA Noffke","SC Ganguly",1
"SB Joshi","SK Warne",1
"SB Joshi","LR Shukla",1
"ML Hayden","KA Pollard",2
"ML Hayden","RR Powar",2
"ML Hayden","R Vinay Kumar",2
